NOVELA,AÑO,CANAL,PROTAGONISTAS,¿DE QUE SE TRATA LA NOVELA?,IMAGEN,LINK COLUMNA 1 ENTREGA,LINK COLUMNA 2 ENTREGA,LINK COLUMNA 3 ENTREGA,LINK COLUMNA 4 ENTREGA,LINK COLUMNA 5 ENTREGA,LINK COLUMNA,GUIONISTA,,
Amándote,1988,Canal 11,"Arnaldo Andre, Jeannette Rodríguez, Lupita Ferrer, Rodolfo Machado, Gino Renni, Jorge Barreiro, María Concepción César, Gabriel Corrado","Martin Arana, un piloto de aviación civil seductor y adinerado que vive en Miami, está comprometido con una aristocrática mujer. Sin embargo, su vida cambia radicalmente cuando viaja a Buenos Aires y conoce a Carolina, una humilde y bella joven que trabaja como azafata, desatando una pasión apasionada que desafía los compromisos marcados y los secretos del pasado. Temas que toca: El romance entre el piloto millonario y la azafata humilde (el mito del amor transatlántico)Diferencias de clases sociales y los prejuicios de la alta sociedad de los '80El entorno de la aviación, los viajes internacionales y la vida entre Miami y Buenos AiresInfidelidades, secretos de familia, celos y las intrigas para separar a la pareja",https://drive.google.com/file/d/1raGQ7cXav_vg0yU8jI4xO-D0_YzJ1O4S/view?usp=sharing,https://www.youtube.com/watch?v=pQYLrTzIRTA&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=449,https://www.youtube.com/watch?v=udhs7uIcDIw&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=439,https://www.youtube.com/watch?v=4Bpdnega8ro&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=426,https://www.youtube.com/watch?v=sFIRWf-993I&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=415,https://www.youtube.com/watch?v=KcrN4tUua-E&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=387,,Ligia Lezama,,
Rosa de lejos,1989,ATC,"Leonor benedetto, pablo alarcon y Juan carlos dual","Rosa llega a buenos aires para trabajar, queda embarazada de su primer y unico amor.Lo cria sola, estudia corte y confeccion para salir adelnte y se convierte en una de las diseñadoras de moda mas importante del pais. Roberto se arrepiente toda su vida de abandonarla.",https://drive.google.com/file/d/1831GIRen1n9ZdUbjNSOzMxYN-1zTtkV9/view?usp=share_link,https://www.youtube.com/watch?v=PxHjnt6LcCk&t=833s,https://www.youtube.com/watch?v=51yQ_5QFfUQ&list=PLppGrAbVMtNH__q05yQAAO90cRuheSgBZ&index=2,https://www.youtube.com/watch?v=dc4DPGXi5rM&t=51s,https://www.youtube.com/watch?v=jRAc1pTZZdk,,,Celia Alcántara,,
La extraña dama,1989,Canal 9,"Luisa Kuliok, Jorge Martínez","Gina, una humilde joven de campo, y Marcelo Ricciardi, un adinerado e importante hombre de sociedad, viven un apasionado e intenso romance del que Gina queda embarazada. Ante la imposibilidad de estar juntos por la oposición familiar y los prejuicios sociales, Gina entrega a su hija recién nacida a un convento y toma los votos religiosos bajo el nombre de Sor Piedad, sin saber que Marcelo jamás dejó de buscarla ni que el destino volvería a cruzar sus vidas. Temas que toca: sociedad, viven un apasionado e intenso romance del que Gina queda embarazada. Ante la imposibilidad de estar juntos por la oposición familiar y los prejuicios sociales, Gina entrega a su hija recién nacida a un convento y toma los votos religiosos bajo el nombre de Sor Piedad, sin saber que Marcelo jamás dejó de buscarla ni que el destino volvería a cruzar sus vidas.Temas que toca",https://drive.google.com/file/d/1jU0AkdaFEAC_lGMGZOc4KKGG0-jMTVCc/view?usp=share_link,https://www.youtube.com/watch?v=oL1Yz9LGsVs&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=651,https://www.youtube.com/watch?v=VOOvY5URyI4&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=617,https://www.youtube.com/watch?v=Y9pC2s8wzBw&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=608,https://www.youtube.com/watch?v=LRzFVGk0REQ&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=598,https://www.youtube.com/watch?v=2cRsA3JNs10&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=588,https://www.youtube.com/watch?v=4J5hXWsf4ag&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=551,https://www.youtube.com/watch?v=94BfiVZmdbI&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=528,https://www.youtube.com/watch?v=mWYZOSR0-CE&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=508,Lucy Gallardo
Rebelde,1989,Canal 9,Grecia Colmenares y Ricardo Darín,"Marina, una joven rica, caprichosa y rebelde, choca constantemente con la autoridad de su familia acomodada. Su vida da un giro inesperado cuando conoce a un hombre humilde y de carácter firme que no se deja intimidar por su fortuna, lo que desencadena un apasionado y conflictivo romance marcado por el choque de personalidades y las diferencias sociales. Temas que toca: La rebeldía juvenil y el capricho frente a la rigidez y las normas familiares de la alta sociedadLa domesticación del carácter a través del amor y el choque entre dos personalidades fuertesDiferencias de clase social y el prejuicio hacia quienes provienen de origenes humildesLa búsqueda de la verdadera madurez y la superación de los traumas del pasado",https://drive.google.com/file/d/1qRHaIrlc0cKvuY7ZHaceyzOy9pkZqzdz/view?usp=share_link,https://www.youtube.com/watch?v=sKhG4r06XSY,https://www.youtube.com/watch?v=XDMILIGngXE,,,,,Ligia Lezama,,
Grande pa,1991,Telefe,"Arturo Puig, María Leal, Alberto Fernández de Rosa, Delfy de Ortega, Verónica Varano, Manuel Callau, Guido Kaczka","Arturo, un hombre viudo e impulsivo, debe criar solo a sus tres hijas adolescentes (""las chancles"") mientras intenta mantener el orden en el hogar. La llegada de María, una humilde y cariñosa empleada doméstica que se convierte en el pilar fundamental de la casa, transforma la dinámica familiar y despierta un romance latente marcado por las diferencias sociales y la calidez cotidiana. Temas que toca: La paternidad en soledad, el duelo por la pérdida materna y la crianza de tres hijas adolescentesComedia familiar y costumbrista con fuerte enfoque en el afecto, la convivencia y los valores del hogarRomance interclase entre el patrón acomodado y la empleada domésticaEl rol de la mujer como sostén emocional y la construcción de una familia ensamblada",https://drive.google.com/file/d/1RYuEMrybL8VbAtTbyaWTOW6y0jfx9VBo/view?usp=share_link,https://www.youtube.com/watch?v=QNt5qthJrYg,https://www.youtube.com/watch?v=9551-oTijds,https://www.youtube.com/watch?v=cp9oDbE6yDA,https://www.youtube.com/watch?v=HREsldxFtyY,https://www.youtube.com/watch?v=Ux2tZDgBsxg,,"Patricia Maldonado Gius, Gustavo Barrios, Ricardo Rodríguez",,
Primer amor,1992,Telefe,Grecia Colmenares y Gabriel Corrado,"Grecia, una joven hermosa pero humilde que trabaja limpiando casas de alta sociedad, conoce a Daniel, un adinerado e idealista piloto de carreras. Entre ellos nace un amor puro e incondicional que desafía los prejuicios socioeconómicos y las constantes conspiraciones de la egoísta y manipuladora madre de Daniel, quien hará todo lo posible por destruir la pareja. Temas que toca: El amor romántico e incondicional capaz de superar las fronteras de claseLas intrigas familiares y las diferencias socioeconómicas marcadasLa inocencia, la bondad y el valor del trabajo honrado frente a la frivolidad aristocráticaEl camino del melodrama clásico: secretos del pasado, sacrificios y la búsqueda constante de la felicidad",https://drive.google.com/file/d/1raQTxh-Hd7uEq6UCr6GOg6B1RZ1bt8RQ/view?usp=share_link,https://www.youtube.com/watch?v=OxuWs5_jqQg&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=307,https://www.youtube.com/watch?v=pENLCKg4dzc&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=295,https://www.youtube.com/watch?v=pENLCKg4dzc&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=295,https://www.youtube.com/watch?v=A0EpUZ_XKs8&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=275,https://www.youtube.com/watch?v=MHttxtzUjkE&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=262,https://www.youtube.com/watch?v=mYGPZ5i-7GI&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=250,Mariela Romero,,
Cristal,1985 - 1986,Canal 9,"Jeannette Rodríguez, Carlos Mata","Cristina, una joven humilde e huérfana que sueña con ser modelo, entra a trabajar en la importante casa de modas de Victoria Ascanio. Sin saber que Victoria es la madre biológica que la abandonó de bebé al nacer, Cristina sufre los maltratos de su jefa mientras vive una apasionada historia de amor con Luis Alfredo, el aristocrático hijastro de Victoria. Temas que toca: Madres e hijas separadas, el abandono y los secretos de identidadEl mundo de la moda, el modelaje y el ascenso socialDiferencias de clase social y la discriminación por el origen humildeEl perdón, la redención y la moral victoriana frente a los errores del pasado",https://drive.google.com/file/d/1lj63oxbRhj0dazptzLlBFEcYO--Tp-gY/view?usp=share_link,https://www.youtube.com/watch?v=PutRchKGoNo&list=PLiLOpIZNFJMiCYTZTq_cHJlU72mtIeUAA&index=147,,,,,,"Delia Fiallo, Ana M. Escámez, Vivel Nouel, Zaret Romero",,
Mas alla del horizonte,1994,Canal 9,"Luisa Kuliok, Osvaldo Laport, Grecia Colmenares, Viviana Saccone, Osvaldo Guidi, Patricia Palmer, Cecilia Maresca","Milagros y Catriel, dos niños separados al nacer por un trágico enfrentamiento entre indios y blancos en la frontera del siglo XIX, crecen en mundos totalmente opuestos: ella en la aristocracia porteña y él criado por la tribu aborigen. Ya de adultos, sus caminos se cruzan en una apasionada y vertiginosa historia de amor marcada por las guerras de frontera, las disputas de tierras y los prejuicios raciales de la época. Temas que toca: El choque cultural y la convivencia entre la sociedad criolla/aristocrática y los pueblos originariosSecretos de identidad, bebés cambiados/separados y la búsqueda de las verdaderas raícesAmores épicos a través de las décadas enmarcados en la reconstrucción histórica del siglo XIX argentinoLa ambición por la tierra, los dilemas morales de la conquista y la lucha por el poder familiar",https://drive.google.com/file/d/1XQCnXkzmwt7FoqBhJK18NwmGa-6F6-ER/view?usp=share_link,https://www.youtube.com/watch?v=7ygtRYxzSGw,https://www.youtube.com/watch?v=er3ZLKlJ8cs,https://www.youtube.com/watch?v=utmRE124OFQ,https://www.youtube.com/watch?v=EmV7IneHva4,,,"Guillermo Glanc, Juan Marin, María Victoria Menis",,
Marimar,1994,Canal de las Estrellas (México),"Thalía, Eduardo Capetillo", Joven humilde se enamora de un hombre rico y debe enfrentar las diferencias sociales y el rechazo de su familia.Temas: Amor · Diferencias sociales · Meritocracia · Venganza · Familia · Superación,https://drive.google.com/file/d/1aAXp3Q5vGcbSdgt8op9wDzwFz9DtamES/view?usp=share_link,https://www.youtube.com/watch?v=5JFtR2bsco4&list=PLiLOpIZNFJMiCYTZTq_cHJlU72mtIeUAA&index=125,,,,,,"Carlos Romero, Valeria Philliphs, Tere Medina, Rosario Velicia",,
Montaña rusa,1994,Canal 13,"Nancy Dupláa, Gastón Pauls","Mariana se enamora de Alejandro, el hijo del nuevo esposo de su madre. Juntos deben enfrentar el prejuicio de ser hermanastros y superar las idas y vueltas propias de la juventud junto a su grupo de amigos.                                                                                   Temas: Amor prohibido entre hermanastros y familias ensambladasCrecimiento personal, independencia y primeros trabajosAmistad, lealtad y desengaños amorosos en la juventudRelaciones y conflictos entre padres e hijos",https://drive.google.com/file/d/1fH-hDErBZDDF4sHublh1qgDO8OIlLwja/view?usp=share_link,https://www.youtube.com/watch?v=HSUbto11_MM&list=PLiLOpIZNFJMiCYTZTq_cHJlU72mtIeUAA&index=153,,,,,,"Jorge Maestro, Sergio Vainman, Gastón Pessacq",,
